AF3 delta std,AF3 delta m,AF3 theta std,AF3 theta m,AF3 alpha std,AF3 alpha m,AF3 beta std,AF3 beta m,F7 delta std,F7 delta m,F7 theta std,F7 theta m,F7 alpha std,F7 alpha m,F7 beta std,F7 beta m,F3 delta std,F3 delta m,F3 theta std,F3 theta m,F3 alpha std,F3 alpha m,F3 beta std,F3 beta m,FC5 delta std,FC5 delta m,FC5 theta std,FC5 theta m,FC5 alpha std,FC5 alpha m,FC5 beta std,FC5 beta m,T7 delta std,T7 delta m,T7 theta std,T7 theta m,T7 alpha std,T7 alpha m,T7 beta std,T7 beta m,P7 delta std,P7 delta m,P7 theta std,P7 theta m,P7 alpha std,P7 alpha m,P7 beta std,P7 beta m,O1 delta std,O1 delta m,O1 theta std,O1 theta m,O1 alpha std,O1 alpha m,O1 beta std,O1 beta m,O2 delta std,O2 delta m,O2 theta std,O2 theta m,O2 alpha std,O2 alpha m,O2 beta std,O2 beta m,P8 delta std,P8 delta m,P8 theta std,P8 theta m,P8 alpha std,P8 alpha m,P8 beta std,P8 beta m,T8 delta std,T8 delta m,T8 theta std,T8 theta m,T8 alpha std,T8 alpha m,T8 beta std,T8 beta m,FC6 delta std,FC6 delta m,FC6 theta std,FC6 theta m,FC6 alpha std,FC6 alpha m,FC6 beta std,FC6 beta m,F4 delta std,F4 delta m,F4 theta std,F4 theta m,F4 alpha std,F4 alpha m,F4 beta std,F4 beta m,F8 delta std,F8 delta_m,F8 theta std,F8 theta m,F8 alpha std,F8 alpha m,F8 beta std,F8 beta m,AF4 delta std,AF4 delta m,AF4 theta std,AF4 theta m,AF4 alpha std,AF4 alpha m,AF4 beta std,AF4 beta m
3574.250877,2065.92964,0.780600566,2.571817268,0.602430465,1.975859973,2.73402479,3.572340655,3564.074633,2059.704652,0.314542632,1.358845934,0.603866324,1.718021984,1.993636291,2.035105476,3620.044427,2120.006163,1.496395189,11.23075266,3.331434354,11.85792917,82.18657704,42.46736598,3565.128231,2060.309143,0.736144075,1.699106442,0.578261849,1.624834406,1.57943805,2.061261425,3562.684637,2058.205993,1.004667543,2.801630057,0.908136432,1.948044644,1.312713385,2.068071064,3612.921997,2114.497652,3.602145645,9.275797312,1.626584623,10.3038971,75.22462003,39.08888011,3571.996962,2064.501191,0.792756513,2.040531085,0.196334728,2.720434526,5.117168534,4.278864296,3522.456789,2072.261884,2.692446765,10.82505335,3.426099751,11.549696,83.75271566,43.7868571,3588.83432,2077.158028,0.859855076,2.262609215,0.866839945,3.08753151,21.75236438,11.33274741,3573.947567,2090.164396,3.720229525,8.043031576,2.883619944,8.221154272,54.61533282,29.10374602,3608.018307,2117.299937,4.520600791,9.478136748,2.922325054,12.3891123,76.54530082,39.66516154,3581.293021,2070.778645,1.157885366,2.476104785,0.603691986,2.032884035,4.134660796,3.806143812,3626.014464,2120.062239,3.359563443,8.185322968,2.867106644,10.73344807,66.12780544,33.95133365,3584.298762,2095.545576,2.139747547,6.345338408,2.129060058,10.1418125,79.83024487,40.35602538
3573.957097,2065.601921,0.359263959,2.661032768,0.533474452,1.944100414,3.214420477,3.460411545,3565.429854,2060.557872,0.857623134,0.793957401,0.647239369,1.936336109,1.863889211,2.121331451,3604.347771,2108.986855,6.354443451,9.24417344,1.438621133,7.338182506,80.31840225,42.41943749,3564.899801,2059.898327,0.762645437,1.240079787,0.518594519,1.613239889,1.611385128,2.129656084,3561.318595,2057.966201,1.208846541,1.576283355,0.711104891,2.338979949,1.015002991,2.037547655,3596.444214,2102.138788,4.525504239,7.901931818,1.814188725,7.225872369,73.96600924,39.84902178,3569.604586,2063.165731,0.674280844,2.265759721,0.893827598,2.377142116,5.135764162,4.545455759,3504.761402,2062.680608,7.201954256,10.03765551,4.252523251,9.374723335,82.43236306,43.82721824,3587.591782,2075.449492,1.269174683,1.933014743,2.242100547,3.950550514,21.03233211,13.30261509,3559.917562,2076.435996,5.672225671,9.16674523,3.200632243,4.708241356,53.51804685,29.19683463,3588.562786,2101.28439,5.840096878,9.142604185,4.113903921,8.524213202,75.11905517,40.41230916,3580.220909,2070.045156,1.161849709,3.524389476,0.840049919,2.39388156,3.622438331,3.786096932,3610.10022,2108.844894,3.831137895,7.955946911,2.463728305,7.070388289,64.82780822,34.40528338,3588.223887,2100.724388,1.676518225,4.651119009,3.599850872,6.305059036,78.29104848,41.76203885
3574.085689,2065.222887,1.258082134,2.543560267,0.262732806,1.193107529,3.426028219,3.40534285,3566.997239,2060.534821,0.553582066,1.148783549,0.461535005,2.101731169,2.03687652,2.214380119,3588.520892,2095.171338,1.701692295,9.856310071,2.352361249,6.930135363,78.9453546,42.34357298,3564.468719,2059.989733,0.726070189,1.703326935,0.425746377,1.97844688,1.54129961,2.41790826,3561.310072,2057.330679,1.180761607,2.136116523,1.14238012,2.481392055,1.29528702,2.189207697,3582.330652,2088.587522,2.933466832,9.42610202,3.032221766,7.097815039,73.43135543,38.65527402,3568.978315,2063.045912,0.657443006,2.835439247,0.608311252,2.334558554,5.294103947,4.322821076,3492.861027,2043.860906,1.848379404,10.89630572,3.809334284,7.399303878,81.61604085,43.00111539,3587.376619,2076.310936,1.675998311,2.153994476,2.108943685,4.526376426,21.71113047,12.16379538,3556.79891,2071.304337,3.182082846,8.516765986,2.119115994,3.18548332,53.71095016,28.25455664,3572.131217,2085.44941,3.582957162,10.07684156,2.461234356,5.671488839,74.70500946,39.38360346,3580.199726,2070.444717,1.840875935,3.566788749,0.298805583,1.861400888,3.657960189,3.88180863,3595.889756,2095.778573,1.030168923,7.605033521,3.977126645,7.04670111,63.93030921,33.72780434,3584.975209,2088.234433,1.571139656,6.113107512,2.658270356,4.672228212,77.7276142,40.8044762
3572.863167,2064.724381,1.484076153,2.608040002,0.238565898,1.661674288,3.200158868,3.346916656,3566.599204,2060.926816,0.547231197,1.571866692,0.882754009,2.057218484,1.887429117,2.323267187,3577.296274,2075.554324,3.302195488,4.871084478,3.387900618,4.26445467,78.7145055,40.4575185,3564.994558,2060.273502,0.514725876,1.862016564,0.53482903,2.388056205,1.574562206,2.28861506,3561.048233,2057.184457,1.005675904,2.132018323,1.092151614,2.171049592,0.66651965,1.780823714,3567.468269,2072.064406,1.422903738,4.779088266,2.127216387,5.212800401,73.2514121,37.84905298,3569.391529,2062.426013,0.568039662,2.868173491,0.40476641,1.591805985,5.183486838,3.87982995,3487.482884,2031.316648,1.699154412,8.058529489,1.97425944,3.916363468,81.84291217,40.4951298,3587.077827,2073.763581,0.747566739,2.661835581,1.60623137,3.869289609,21.82395726,11.55995892,3547.183068,2064.896387,1.030023131,4.020946555,2.296027148,5.335719458,53.69489997,28.07903141,3560.990522,2065.54113,1.627354116,3.947202696,3.089327884,4.347171096,74.10816647,38.91532453,3578.10662,2069.019457,1.401833711,4.039143177,0.464358524,2.639458122,4.238905877,3.327489424,3583.93621,2079.534328,3.78129065,4.758601731,3.123947793,5.618895327,63.19422495,34.10020287,3592.443418,2095.120753,3.235416471,5.959885697,3.02025155,5.495146468,78.44053278,40.04074903
3573.47722,2064.689092,2.780285445,2.269049203,0.791379613,1.818374828,3.337315631,3.379297515,3566.08893,2060.661479,0.494150109,1.661595441,0.703897312,2.731333299,1.594641106,2.277870172,3575.849791,2074.876682,2.194140653,4.938764902,5.103035359,6.497709769,78.17445318,41.45388001,3566.806065,2060.865865,1.057683962,2.503842597,1.015247879,2.476666261,1.889712667,2.728252999,3561.305744,2057.897639,0.802008382,2.127395903,1.216171937,1.562384461,0.709751981,1.716362236,3564.132729,2069.490381,1.514195639,3.459947409,2.278754186,5.047779643,72.93950784,38.25174781,3569.354566,2062.661504,1.388032861,2.349378796,0.945983845,1.834307335,5.357688972,3.744177771,3497.802331,2033.687358,2.205805312,5.166520509,3.76951645,8.513305231,80.38242905,42.48884772,3587.910388,2074.624532,1.157708388,2.607650326,1.636846527,3.989247568,22.13218677,12.04017967,3544.103019,2064.297122,2.354261481,4.285071024,2.931531939,5.588688585,53.47286655,28.74510164,3561.06506,2064.648754,0.983534347,1.862678689,1.440882587,4.89589226,74.17481262,39.58851009,3578.172971,2068.461018,1.399345923,3.634159371,0.90453859,1.547461358,4.34038868,3.477854382,3580.054695,2076.263605,1.34712442,4.472366204,2.449449899,5.522240409,63.25013732,34.0121389,3594.285526,2093.034324,3.561496841,8.84088388,5.61629512,6.872811749,77.90502151,40.8966745
3573.688591,2064.781595,1.076036274,2.604746379,0.278465575,2.177596377,3.143992439,3.291076969,3566.364199,2060.784465,0.227835905,2.178839029,0.844677066,2.160964583,1.612352624,2.072822542,3572.72865,2074.435666,2.054200493,6.009400261,2.688990958,8.884801798,77.33425253,44.75726074,3567.162327,2061.836641,1.245059461,2.45928071,1.373242431,2.589938619,1.427531963,3.027156112,3561.953379,2057.970444,0.813835715,2.043419734,0.84141629,1.549663903,0.955183789,1.958039914,3561.084399,2067.471694,2.159903321,6.320000853,3.473286573,8.667434566,71.74305639,41.95676157,3569.500687,2062.746063,2.183484019,2.306831066,0.539725832,1.173768567,5.436172153,4.454203668,3507.133214,2041.061134,1.985736849,5.406550221,2.183049397,8.222687723,79.74156393,43.146472,3584.731673,2074.530496,0.50257622,3.020447825,1.671337607,5.119810246,21.48715064,13.96677559,3540.746637,2063.833849,2.51740382,3.738657037,3.563594439,6.842716341,53.04126164,31.29708797,3560.178772,2064.937304,1.270352861,4.832546451,2.527925039,8.371183699,73.19348585,42.258967,3577.31066,2068.316433,1.00131121,3.397945951,0.736074001,1.847679306,4.14485902,3.326133239,3575.292001,2074.012099,2.240636457,7.121092035,2.545159077,7.740513133,63.3417615,36.80788603,3594.126434,2096.348348,7.148303352,11.00829145,3.272383634,9.370987814,76.5407683,44.78993974
3572.601079,2063.711782,0.745342099,2.066554348,0.118649693,1.941889794,3.17498402,3.448097786,3566.693539,2061.84702,0.978048713,2.481888755,0.936445847,2.11073187,1.305993166,1.943825342,3574.1912,2078.094642,3.802572778,5.585855434,1.391276006,8.341532349,76.36903552,44.95682569,3567.67338,2061.707441,1.047457056,2.41267939,0.963846973,2.51710059,1.685514575,2.850835318,3562.013424,2058.194067,0.980034178,2.115687618,1.121656949,1.919325786,1.057853575,1.837051656,3563.566253,2073.908602,3.150841582,6.584892634,0.585446272,9.040867857,70.83613717,41.6991039,3568.487661,2062.903081,1.124009388,2.335937548,0.834272566,2.584627017,5.413560747,4.389005624,3514.383738,2055.559303,0.711515426,3.538532021,1.491648586,8.071889332,78.14842889,42.7468025,3584.799729,2074.690204,1.80283913,4.403174337,1.840617125,6.061679171,20.69313442,13.78337562,3540.257401,2060.479092,2.326664588,5.266610917,1.575830396,6.703166121,51.76537186,30.818593,3564.638489,2075.940711,2.000836262,5.456598172,1.719232533,9.933054611,71.86905394,41.57162397,3576.077796,2066.333971,1.379271331,3.171081583,0.929361693,1.20730401,4.127468393,3.507675341,3575.864241,2075.96152,4.356961387,6.675809042,0.680010402,8.671023047,61.86691154,36.63134705,3593.460545,2103.190934,2.861558855,7.789892841,2.230669718,9.526629233,75.99125144,44.47549153
3572.652788,2064.105926,0.677576629,1.827918509,0.688381664,1.864205794,3.245551424,3.482163484,3567.509871,2061.693246,0.88985222,2.177832359,1.032678588,2.137067213,1.500400201,1.756787057,3582.844652,2083.378809,4.094439272,6.484815278,4.202295463,9.101343426,76.29052862,44.57495573,3568.6024,2062.754387,0.870806134,2.35238504,0.872561565,2.682880729,1.75151186,3.057197055,3562.367784,2059.107573,1.348351106,1.993244984,1.011197249,2.72117216,0.924810488,2.391949845,3576.453646,2078.048015,4.22089343,7.895356353,2.034783702,10.16594136,69.9110029,41.32031901,3568.262262,2062.446633,1.083554513,2.344225809,1.062950644,2.802603081,5.387832331,4.451987778,3532.127801,2066.930539,2.387426432,8.393186895,3.188473508,6.269243356,77.39321246,42.29738166,3584.316092,2074.07724,1.686023897,4.14954409,3.460671298,6.447668448,20.89328969,13.80314583,3550.221614,2064.147697,1.822534085,4.88394567,1.984998259,6.969069893,52.03031339,30.78127909,3582.179538,2086.419952,3.398196717,7.952689936,5.117257487,9.14990023,71.37563085,41.34788088,3576.244619,2066.725442,1.052565787,3.246910093,0.696582899,1.097884276,3.625494165,3.632454596,3584.215852,2079.168051,5.240298108,6.81414013,3.228862202,7.140471368,61.78488608,36.2710812,3591.246666,2097.982329,3.034854615,7.514651837,4.802445145,9.689635786,75.71503235,44.26399776
3572.169052,2063.587956,1.442997894,2.357094039,0.450844054,1.677439217,3.590953825,3.125120308,3567.772446,2061.822978,0.596517862,2.112257659,0.844932302,2.010327571,1.718603225,1.897760098,3596.579824,2090.809883,5.560634721,12.30557227,4.26267917,9.737487634,78.02113775,42.57870887,3568.626417,2061.62416,1.247627475,2.842493539,1.309434232,2.527772061,1.768010906,2.808887484,3562.894505,2059.631984,1.081493738,1.718963877,0.979634691,2.623321544,1.185849053,2.440260687,3586.284723,2084.290419,5.623279113,11.22978949,2.143448572,11.26172194,70.10745506,39.86161267,3568.896453,2064.004403,0.993545856,2.580047487,1.015367063,2.866462575,5.458172278,4.417195702,3562.760118,2079.10148,4.144272853,13.93964831,2.5482712,6.09776548,78.68500442,39.19602772,3582.869498,2073.618441,1.896439038,3.5328025,3.885751608,6.427135893,20.98665849,13.48991471,3561.612134,2071.646627,2.214373326,13.46219949,1.415304016,9.475095491,52.77142905,28.69324561,3592.64989,2090.353444,4.733558725,10.09961067,5.343023971,10.25783302,72.48659761,39.70065741,3576.133367,2066.106661,1.733637031,3.024323894,0.645128837,1.611609942,3.926676181,3.361324855,3591.253473,2083.262625,5.125569443,9.642820218,3.277928375,7.617542204,62.72168062,35.25463982,3614.240957,2120.883768,2.887181316,16.46913488,3.747852493,11.79720492,77.54023993,41.94168756
3571.095811,2062.85602,1.297982331,1.970870595,0.51491047,1.410022566,3.393496633,3.147557805,3566.00455,2061.584207,0.926346095,2.377148475,0.471660533,2.271642205,1.619784123,1.917836826,3614.978354,2105.127068,3.69378458,5.573194199,2.550573615,5.798783559,80.17231037,40.51049166,3568.647254,2063.538713,0.427621481,1.687184078,0.678827635,2.281598265,1.715030338,2.959531977,3563.536278,2060.102876,0.463940414,1.364225986,1.26869083,3.149224293,1.005942368,2.654870685,3604.580032,2092.573282,3.692552572,4.972735625,2.903701816,6.097700827,72.09501172,36.44363795,3570.723196,2065.069104,1.017095565,1.795968732,1.18007761,2.455393914,5.912269718,3.788114262,3587.972895,2099.815622,5.078273222,7.302943174,1.827129327,5.13821478,80.2712375,40.12679438,3585.339229,2075.065834,1.120744691,3.450638486,2.414360644,4.750348042,21.29082024,11.96942152,3583.6877,2092.313642,1.384318173,5.594788563,0.574360565,4.65513066,54.01487261,27.39971797,3609.893974,2093.434241,2.908953137,6.664569839,2.539061909,7.105494963,74.69021241,37.33729549,3576.32329,2065.933943,2.624006003,2.607151582,0.41377099,1.0518194,3.924766329,3.43944327,3605.140161,2091.940827,3.29546199,4.220132028,2.267747596,4.527232124,64.16959758,33.43461057,3639.0462,2131.739643,0.751166658,4.075121899,2.775616854,6.241881659,79.99203516,40.97172634
